pob_acumulada,tiempo_acumulado,igualdad_perfecta
0.0,0.0,0.0
0.010101010101010102,8.820948895227054e-05,0.010101010101010102
0.020202020202020204,0.00021916008560344397,0.020202020202020204
0.030303030303030304,0.00043587360486616196,0.030303030303030304
0.04040404040404041,0.0006699975360430355,0.04040404040404041
0.05050505050505051,0.0009550610111891563,0.05050505050505051
0.06060606060606061,0.0012534205402520032,0.06060606060606061
0.07070707070707072,0.0015539339732106917,0.07070707070707072
0.08080808080808081,0.0018670324731735032,0.08080808080808081
0.09090909090909091,0.0022060865818870606,0.09090909090909091
0.10101010101010102,0.002574417180343233,0.10101010101010102
0.11111111111111112,0.002984862959914446,0.11111111111111112
0.12121212121212122,0.0034625362382812094,0.12121212121212122
0.13131313131313133,0.0039745922531081385,0.13131313131313133
0.14141414141414144,0.004525200482985474,0.14141414141414144
0.15151515151515152,0.005091172163576146,0.15151515151515152
0.16161616161616163,0.005694998834763089,0.16161616161616163
0.17171717171717174,0.00635428266793473,0.17171717171717174
0.18181818181818182,0.00704851744359427,0.18181818181818182
0.19191919191919193,0.0077797907848545745,0.19191919191919193
0.20202020202020204,0.00853977999478847,0.20202020202020204
0.21212121212121213,0.00932683632113522,0.21212121212121213
0.22222222222222224,0.010198154301347727,0.22222222222222224
0.23232323232323235,0.01113895221384691,0.23232323232323235
0.24242424242424243,0.012093585489376887,0.24242424242424243
0.25252525252525254,0.013131211692306716,0.25252525252525254
0.26262626262626265,0.014241937788368091,0.26262626262626265
0.27272727272727276,0.015409037321826573,0.27272727272727276
0.2828282828282829,0.01660315011774468,0.2828282828282829
0.29292929292929293,0.017843225257534838,0.29292929292929293
0.30303030303030304,0.019109762054220342,0.30303030303030304
0.31313131313131315,0.02040889236460001,0.31313131313131315
0.32323232323232326,0.02179362152923096,0.32323232323232326
0.33333333333333337,0.023240734892443604,0.33333333333333337
0.3434343434343435,0.024734183625959708,0.3434343434343435
0.3535353535353536,0.02627816520829155,0.3535353535353536
0.36363636363636365,0.02789545609506614,0.36363636363636365
0.37373737373737376,0.02957519824491584,0.37373737373737376
0.38383838383838387,0.031310748951392964,0.38383838383838387
0.393939393939394,0.03308809393872317,0.393939393939394
0.4040404040404041,0.03491811162572894,0.4040404040404041
0.4141414141414142,0.03684764772416377,0.4141414141414142
0.42424242424242425,0.038799801485563,0.42424242424242425
0.43434343434343436,0.040795888503222924,0.43434343434343436
0.4444444444444445,0.04281979585925972,0.4444444444444445
0.4545454545454546,0.04493545220373038,0.4545454545454546
0.4646464646464647,0.04710139854443657,0.4646464646464647
0.4747474747474748,0.049293307650681885,0.4747474747474748
0.48484848484848486,0.05157853017593056,0.48484848484848486
0.494949494949495,0.05399885207468267,0.494949494949495
0.5050505050505051,0.05653600039985671,0.5050505050505051
0.5151515151515152,0.059197469111436286,0.5151515151515152
0.5252525252525253,0.06195633737331122,0.5252525252525253
0.5353535353535354,0.06478757599330753,0.5353535353535354
0.5454545454545455,0.06780265421975411,0.5454545454545455
0.5555555555555556,0.07089456130433955,0.5555555555555556
0.5656565656565657,0.07410375262436479,0.5656565656565657
0.5757575757575758,0.07756130053235742,0.5757575757575758
0.5858585858585859,0.08122630586922279,0.5858585858585859
0.595959595959596,0.08510203665705493,0.595959595959596
0.6060606060606061,0.08923286708681784,0.6060606060606061
0.6161616161616162,0.09364439940330449,0.6161616161616162
0.6262626262626263,0.09824567871908756,0.6262626262626263
0.6363636363636365,0.10309110746763304,0.6363636363636365
0.6464646464646465,0.10817032067024276,0.6464646464646465
0.6565656565656566,0.11364546831331343,0.6565656565656566
0.6666666666666667,0.11953865104190255,0.6666666666666667
0.6767676767676768,0.12563602003187518,0.6767676767676768
0.686868686868687,0.1321757036123571,0.686868686868687
0.696969696969697,0.13942043723703137,0.696969696969697
0.7070707070707072,0.14722225661988295,0.7070707070707072
0.7171717171717172,0.1554078160612804,0.7171717171717172
0.7272727272727273,0.16446039105741625,0.7272727272727273
0.7373737373737375,0.17413554335013107,0.7373737373737375
0.7474747474747475,0.1844814028326245,0.7474747474747475
0.7575757575757577,0.19550456301816502,0.7575757575757577
0.7676767676767677,0.20729613586088866,0.7676767676767677
0.7777777777777778,0.21989677141387481,0.7777777777777778
0.787878787878788,0.23324616575543683,0.787878787878788
0.797979797979798,0.24720222702012515,0.797979797979798
0.8080808080808082,0.261847629502609,0.8080808080808082
0.8181818181818182,0.27694880618089524,0.8181818181818182
0.8282828282828284,0.2930070066649189,0.8282828282828284
0.8383838383838385,0.3105270287365808,0.8383838383838385
0.8484848484848485,0.32927014080698025,0.8484848484848485
0.8585858585858587,0.3489368536885178,0.8585858585858587
0.8686868686868687,0.3700632928925016,0.8686868686868687
0.8787878787878789,0.39270070013993746,0.8787878787878789
0.888888888888889,0.41755384032213516,0.888888888888889
0.8989898989898991,0.4449076766326772,0.8989898989898991
0.9090909090909092,0.47517958500458246,0.9090909090909092
0.9191919191919192,0.5089380077398189,0.9191919191919192
0.9292929292929294,0.546287649026773,0.9292929292929294
0.9393939393939394,0.5884878734162554,0.9393939393939394
0.9494949494949496,0.6349686927237654,0.9494949494949496
0.9595959595959597,0.686390264529789,0.9595959595959597
0.9696969696969697,0.7441792300243902,0.9696969696969697
0.9797979797979799,0.8118046988118213,0.9797979797979799
0.98989898989899,0.8913557288823759,0.98989898989899
1.0,0.9999999999999925,1.0
