UBIGEO,NOMCP,DEP,DIST
210101,Isla Khana Uro,PUNO,PUNO
210101,Isla Uros Capital 2,PUNO,PUNO
210101,Isla Kamisaraki (Tupirmarka),PUNO,PUNO
210101,Isla Apu Inti Corazon,PUNO,PUNO
210101,Isla Uros Capital,PUNO,PUNO
210101,Isla Uros Amanecer,PUNO,PUNO
210101,Isla Chullo,PUNO,PUNO
210101,Isla Suma Kili,PUNO,PUNO
210101,Isla Q'Ota Uma,PUNO,PUNO
210101,Isla Uros Gaviota,PUNO,PUNO
210101,Isla Uros Chikito,PUNO,PUNO
210101,Isla Jiska Chaulla,PUNO,PUNO
210101,Isla Uros Jacha Challwa,PUNO,PUNO
210101,Isla Tupiri Corazon,PUNO,PUNO
210101,Uros Torani Pata,PUNO,PUNO
210108,Negroni,PUNO,HUATA
,Isla Ccapi Nativo,,
,Isla Suchi Chuyma,,
,Isla Suchi Marka,,
,Isla Suma Balsa,,
,Isla Suma Kurmi,,
,Isla Summa Willjta,,
,Isla Titino,,
,Isla Uros Arumtawi,,
,Isla Uros Corazon Del Lago,,
,Isla Uros Hanan Pacha,,
,Isla Uros Huayna Marca,,
,Isla Uros Kollana Corazon,,
,Isla Uros Machaq Marka,,
,Isla Uros Manco Capac,,
,Isla Uros Parihuana,,
,Isla Uros Quechua,,
,Isla Uros Samary,,
,Isla Uros Sol Y Luna,,
,Isla Uros Suma Chuyma Kantaw,,
,Isla Uros Suma Pankara,,
,Isla Uros Suma Sapi,,
,Isla Uros Tawantinsuyo,,
,Isla Uros Utama,,
,Isla Uros Wi-Ay Marka,,
,Isla Wiñay Pacha,,
,Santa Maria Eva,,
,Suchi Maya,,
,Isla Kantuta,,
,Isla Chujllita Corazon,,
,Isla Balista Corazon,,
,Isla Corazon Valiente,,
,Isla Iskaquili Corazon,,
,Isla Mauri,,
,Isla Titilaca Corazon,,
,Isla Uros Apu Kontiki,,
,Isla Uros Aruma Uros,,
,Isla Uros Chulluni San Pedro,,
,Isla Uros Corazon De Puma,,
,Isla Uros Inti Killa,,
,Isla Uros Lunita Corazon,,
,Isla Uros Mama Qota,,
,Isla Uros Muñayhuasi,,
,Isla Uros Pankarita Corazon,,
,Isla Uros Panqarita,,
,Isla Uros Puma,,
,Isla Uros Purimita Corazon,,
,Isla Uros Samaraña Uta Lodge,,
,Isla Uros Santa Maria Coyla,,
,Isla Uros Santa Maria Mallku,,
,Isla Uros Suma Marka,,
,Isla Uros Suma Paqari,,
,Isla Uros Sumapurimita,,
,Isla Uros Sumautita,,
,Isla Uros Tata Inti,,
,Isla Uros Tata Inti Santiago,,
,Isla Uros Tata Quile,,
,Isla Uros Taypikile,,
,Isla Uros Taypikile Corazon,,
,Isla Uros Tika Corazon,,
,Isla Uros Tikarani,,
,Isla Uros Titi Marka,,
,Isla Uros Titicaca Lodge,,
,Isla Uros Titicaca Longe Per,,
,Isla Uros Titikaka,,
,Isla Uros Totorero,,
,Isla Wiñay Titicaca,,
,Isla Uros Qhatany Lodge,,
210108,Titino,PUNO,HUATA
210108,Balsero,PUNO,HUATA
210108,Uros Titino,PUNO,HUATA
210108,Manco Capac,PUNO,HUATA
210108,Majano Grande,PUNO,HUATA
210902,Cijatane,PUNO,CONIMA
210902,Isla Soto,PUNO,CONIMA
210105,Titino,PUNO,CAPACHICA
210902,Lampayunis,PUNO,CONIMA
210101,Isla Kapi Cruz Grande - Sector Llachopuncco,PUNO,PUNO
210101,Isla Maccano,PUNO,PUNO
210105,Isla Ticonata,PUNO,CAPACHICA
210105,Isla Isañeta,PUNO,CAPACHICA
210101,Isla Llacho Punku,PUNO,PUNO
210105,Silacachi,PUNO,CAPACHICA
210105,Santa Maria,PUNO,CAPACHICA
210101,Isla Ccapi Los Uros,PUNO,PUNO
210106,Negrone,PUNO,CHUCUITO
210902,Cabrauyo,PUNO,CONIMA
210108,Majano Chico,PUNO,HUATA
,Isla Tata Llachu Punku,,
110304,Marmoceria,ICA,MARCONA
210608,Isla Huatasani,PUNO,VILQUE CHICO
210901,Chiruni Santa Elena,PUNO,MOHO
210901,Umajalso,PUNO,MOHO
210901,Capajache,PUNO,MOHO
210902,Isla Suasi,PUNO,CONIMA
210601,Roquichejepampa,PUNO,HUANCANE
210901,San Pedro de Uspique,PUNO,MOHO
210901,Molluyopampa,PUNO,MOHO
210901,Ticapata,PUNO,MOHO
,Isla San Pedro Juspique,,
210602,Callenuta Kantati Ururi,PUNO,COJATA
110505,Santa Rosa,ICA,PARACAS
110505,El Panteon,ICA,PARACAS
081002,Ccaccasique,CUSCO,ACCHA
080204,Tiquiña,CUSCO,MOSOC LLACTA
080204,Tactabamba,CUSCO,MOSOC LLACTA
080204,Chilcane,CUSCO,MOSOC LLACTA
080204,Iscuchaca,CUSCO,MOSOC LLACTA
080204,Pauchi Pampa,CUSCO,MOSOC LLACTA
110204,Los Angeles,ICA,CHINCHA BAJA
090613,Cunya Punta,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Lumitana,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Morococha,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Delachina,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Artesa,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Chaccra,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Cochac,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,San Antonio de Tincocc Ullpacc,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Tincocc Ullpacc,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Tincocc (Tinocc),HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Cruz Pata,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Ullpa,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Yucuncho,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,San Juan De Ocoro,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Yuraccmachay,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Acchimachay,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Tunso,HUANCAVELICA,SANTIAGO DE CHOCORVOS
090613,Putja,HUANCAVELICA,SANTIAGO DE CHOCORVOS
030604,Olecpampa,APURIMAC,HUACCANA
030604,Torocro,APURIMAC,HUACCANA
030604,Saucepampa,APURIMAC,HUACCANA
030604,Paylahuantuna,APURIMAC,HUACCANA
030604,Quisuar,APURIMAC,HUACCANA
030604,Huiracocha Pampa,APURIMAC,HUACCANA
030604,Ahuayro,APURIMAC,HUACCANA
030604,La Florida,APURIMAC,HUACCANA
030604,Sapichaca,APURIMAC,HUACCANA
030604,Pumayacu,APURIMAC,HUACCANA
030604,Armay,APURIMAC,HUACCANA
030604,Potacca,APURIMAC,HUACCANA
080106,Simon Herrera,CUSCO,SANTIAGO
080101,Nuevo Horizonte,CUSCO,CUSCO
080101,Huampar,CUSCO,CUSCO
080101,Chinchaysuyo,CUSCO,CUSCO
080101,Cruz Verde Quehuepay,CUSCO,CUSCO
080101,Sencca Quispihuara,CUSCO,CUSCO
080101,Hacienda Quellobamba,CUSCO,CUSCO
080101,Puncurayoc,CUSCO,CUSCO
080101,Ollucopampa,CUSCO,CUSCO
080101,Hatun Pampa,CUSCO,CUSCO
080101,Chulluncoy,CUSCO,CUSCO
090408,San Lorenzo,HUANCAVELICA,HUAMATAMBO
090408,Chuymac,HUANCAVELICA,HUAMATAMBO
090408,Huaciucro,HUANCAVELICA,HUAMATAMBO
090203,Tincona,HUANCAVELICA,ANTA
050501,Pukarumi,AYACUCHO,SAN MIGUEL
050501,Flor Patibamba / San Francisco Patibamba,AYACUCHO,SAN MIGUEL
050501,Mahuayhura,AYACUCHO,SAN MIGUEL
050501,Ampianco,AYACUCHO,SAN MIGUEL
050501,Collpa,AYACUCHO,SAN MIGUEL
050501,Pampa Huaylla,AYACUCHO,SAN MIGUEL
050501,Allpacorral,AYACUCHO,SAN MIGUEL
050406,Pamparayoc,AYACUCHO,SANTILLANA
050501,Qasanqa,AYACUCHO,SAN MIGUEL
050104,Ñahuinpuquio,AYACUCHO,CARMEN ALTO
050116,San Sebastian,AYACUCHO,ANDRES AVELINO CACERES DORREGARAY
050501,Socos,AYACUCHO,SAN MIGUEL
050501,Condoray,AYACUCHO,SAN MIGUEL
050501,Misquibamba,AYACUCHO,SAN MIGUEL
050501,Santa Magdalena,AYACUCHO,SAN MIGUEL
050501,Suncupata,AYACUCHO,SAN MIGUEL
050501,Pampachacra,AYACUCHO,SAN MIGUEL
050501,Acabara,AYACUCHO,SAN MIGUEL
050501,San Pedro,AYACUCHO,SAN MIGUEL
050501,Incaraqay,AYACUCHO,SAN MIGUEL
050501,Mollebamba,AYACUCHO,SAN MIGUEL
050501,Ollucopampa,AYACUCHO,SAN MIGUEL
050501,Huallhua,AYACUCHO,SAN MIGUEL
050501,Huitupata,AYACUCHO,SAN MIGUEL
050501,Socopara,AYACUCHO,SAN MIGUEL
050501,Pampa Huasi,AYACUCHO,SAN MIGUEL
050501,Saramañana,AYACUCHO,SAN MIGUEL
050501,Leonpata,AYACUCHO,SAN MIGUEL
050501,Pinchin,AYACUCHO,SAN MIGUEL
050501,La Nueva Molina,AYACUCHO,SAN MIGUEL
050509,Monterrico Alto,AYACUCHO,SAMUGARI
050501,Chorobamba,AYACUCHO,SAN MIGUEL
050502,Huayrapata,AYACUCHO,ANCO
050502,Mejorada,AYACUCHO,ANCO
050509,San Agustin,AYACUCHO,SAMUGARI
050509,Monterrico/rio Magdalena,AYACUCHO,SAMUGARI
050502,6 de Agosto,AYACUCHO,ANCO
050502,Nuevo Berlin,AYACUCHO,ANCO
050502,Cupirus,AYACUCHO,ANCO
080907,Seranta,CUSCO,KIMBIRI
050502,Paterine,AYACUCHO,ANCO
050502,Santa Rosa de Lima,AYACUCHO,ANCO
050502,Pampa Aurora,AYACUCHO,ANCO
050502,San Martin,AYACUCHO,ANCO
050502,San Antonio,AYACUCHO,ANCO
050509,Pakichari / Paquichari,AYACUCHO,SAMUGARI
080907,Sector Lobo,CUSCO,KIMBIRI
080907,Maserine Baja,CUSCO,KIMBIRI
080907,Palma de Oro,CUSCO,KIMBIRI
080907,Corazon Pata,CUSCO,KIMBIRI
