UBIGEO,NOMCP,DEP,DIST
080902,Palmeiras,CUSCO,ECHARATE
080902,Itariato,CUSCO,ECHARATE
080902,Alto Shimaa,CUSCO,ECHARATE
080902,Bajo  Itariato,CUSCO,ECHARATE
080902,Los Nogales,CUSCO,ECHARATE
070105,Isla San Lorenzo,CALLAO,LA PUNTA
150110,Nueva Primavera,LIMA,COMAS
070105,Punta Galera,CALLAO,LA PUNTA
150727,Oscolla,LIMA,SANTA CRUZ DE COCACHACRA
150728,Villa Santa Ana,LIMA,SANTA EULALIA
090717,Chinchipampa,HUANCAVELICA,SURCUBAMBA
090707,Colpa Cucho,HUANCAVELICA,HUACHOCOLPA
090707,Colcapampa,HUANCAVELICA,HUACHOCOLPA
090717,Matui Pata,HUANCAVELICA,SURCUBAMBA
090707,Huaylacucho,HUANCAVELICA,HUACHOCOLPA
090717,Hacienda San Fernando,HUANCAVELICA,SURCUBAMBA
090707,Fundo Luicho,HUANCAVELICA,HUACHOCOLPA
090707,Robles,HUANCAVELICA,HUACHOCOLPA
090717,Monserrate,HUANCAVELICA,SURCUBAMBA
090707,Fundo Ruiro Monte,HUANCAVELICA,HUACHOCOLPA
090707,Puytoc,HUANCAVELICA,HUACHOCOLPA
090717,Ccaracancha,HUANCAVELICA,SURCUBAMBA
090717,Mandinga,HUANCAVELICA,SURCUBAMBA
090717,Novillo Pampa,HUANCAVELICA,SURCUBAMBA
090707,Rumichaca,HUANCAVELICA,HUACHOCOLPA
090717,Socos,HUANCAVELICA,SURCUBAMBA
090717,Pacchahuayjo,HUANCAVELICA,SURCUBAMBA
090717,Sambucachi,HUANCAVELICA,SURCUBAMBA
090707,Chinchipampa,HUANCAVELICA,HUACHOCOLPA
090707,Chumpes,HUANCAVELICA,HUACHOCOLPA
090707,Camuna,HUANCAVELICA,HUACHOCOLPA
090707,Rosaspampa,HUANCAVELICA,HUACHOCOLPA
090707,Totora,HUANCAVELICA,HUACHOCOLPA
090717,Huanupata,HUANCAVELICA,SURCUBAMBA
090717,Ucuchapampa,HUANCAVELICA,SURCUBAMBA
090707,Santa Maria,HUANCAVELICA,HUACHOCOLPA
090707,Yanacocha,HUANCAVELICA,HUACHOCOLPA
090717,Lirioccasa,HUANCAVELICA,SURCUBAMBA
090717,Fundo Challhua Puquio,HUANCAVELICA,SURCUBAMBA
090707,Ichurutuna,HUANCAVELICA,HUACHOCOLPA
090707,Cedro,HUANCAVELICA,HUACHOCOLPA
090717,Alegre,HUANCAVELICA,SURCUBAMBA
