UBIGEO,NOMBRE,DEPARTAMENTO,DISTRITO
010310,LA FLORIDA DE SHIPASBAMBA,AMAZONAS,SHIPASBAMBA
060607,MOSHOQUEQUE,CAJAMARCA,QUEROCOTILLO
060805,HUACO,CAJAMARCA,HUABAL
010505,NUEVO LUYA,AMAZONAS,CONILA
010203,LLUHUANA,AMAZONAS,COPALLIN
080108,GRUPO RAICES,CUSCO,WANCHAQ
010310,COMBOCA,AMAZONAS,SHIPASBAMBA
120606,POTSOTENI,JUNIN,PANGOA
120606,UNION PUERTO ASHANINKA,JUNIN,PANGOA
250302,NUEVO UCAYALI KM.98,UCAYALI,IRAZOLA
220901,PUESTO DE SALUD ATUMPAMPA,SAN MARTIN,TARAPOTO
030504,MUTUHUASI,APURIMAC,HAQUIRA
150119,ODENTOSALUD SAC,LIMA,LURIN
150124,CENTRO DE SALUD BENJAMIN DOIG,LIMA,PUCUSANA
160205,P.S. I-1 PORVENIR DE PAPAYACU,LORETO,JEBEROS
060901,MIRAFLORES,CAJAMARCA,SAN IGNACIO
140202,HIERBA BUENA,LAMBAYEQUE,CAÑARIS
080105,Dra. Denisse Bueno,CUSCO,SAN SEBASTIAN
140306,HUACA TRAPICHE DE BRONCE,LAMBAYEQUE,MORROPE
150133,VILLA DIAL,LIMA,SAN JUAN DE MIRAFLORES
061105,LAS PENCAS,CAJAMARCA,EL PRADO
200101,CENTRO MEDICO BOSCONIA,PIURA,PIURA
150130,DENTAL CLASS,LIMA,SAN BORJA
150131,CLINICA JAVIER PRADO,LIMA,SAN ISIDRO
080201,ACOMAYO - ESSALUD,CUSCO,ACOMAYO
150122,CENTRO DE DIALISIS SANTA ANA,LIMA,MIRAFLORES
200101,CONSULTORIO DENTAL DRA. DIANA LEON,PIURA,PIURA
110201,CLÍNICA SOLDEVILLA,ICA,CHINCHA ALTA
211201,POSTA MEDICA SANDIA - ESSALUD - RED ASISTENCIAL JULIACA,PUNO,SANDIA
080101,DIAGNOSTICO MEDICO DRA.. COA,CUSCO,CUSCO
190113,CENTRO MEDICO DE SAN JUAN,PASCO,YANACANCHA
190108,POSTA MEDICO DE MILPO,PASCO,SAN FCO DE ASIS DE YARUSYACAN
010204,UNION PROGRESO,AMAZONAS,EL PARCO
190104,POSTA MEDICA DE HUARON,PASCO,HUAYLLAY
090117,PUESTO DE SALUD CHUÑUNAPAMPA,HUANCAVELICA,YAULI
150122,LUCES,LIMA,MIRAFLORES
010109,BUIQUIL,AMAZONAS,LA JALCA
010105,SENGACHE,AMAZONAS,CHILIQUIN
010602,SAN ANTONIO,AMAZONAS,CHIRIMOTO
200115,"CENTRO MEDICO ""SEGURIDAD EN EL TRABAJO Y EMERGENCIAS OCUPACIONALES"" - STEO - AMBULANCIA",PIURA,VEINTISEIS DE OCTUBRE
110305,NASCA,ICA,VISTA ALEGRE
140301,CONSULTORIO OBSTETRICO VIDA MUJER,LAMBAYEQUE,LAMBAYEQUE
040101,CONSULTORIO UROLOGIA VIDAS,AREQUIPA,AREQUIPA
150716,EL VALLE,LIMA,SAN ANTONIO
050806,PUESTO DE SALUD CCALACCAPCHA,AYACUCHO,OYOLO
120801,NATCLAR LA OROYA,JUNIN,LA OROYA
150116,OFTALMOLENS E.I.R.L.,LIMA,LINCE
100101,"CENTRO DE SALUD MENTAL COMUNITARIO ""ESPERANZA""",HUANUCO,HUANUCO
010609,GARZAYACU,AMAZONAS,OMIA
140306,HUACA DE BARRO,LAMBAYEQUE,MORROPE
010309,SAN CARLOS,AMAZONAS,SAN CARLOS
150117,CONSULTORIO DENTAL SONRISAS Y DETALLES,LIMA,LOS OLIVOS
010202,ARAMANGO,AMAZONAS,ARAMANGO
060505,JAGUEY,CAJAMARCA,SAN BENITO
061111,QUEBRADA HONDA,CAJAMARCA,SAN SILVESTRE DE COCHAN
120704,CASCA,JUNIN,HUASAHUASI
060419,EL NARANJO (CHALAMARCA),CAJAMARCA,CHALAMARCA
140206,LAS LOMAS,LAMBAYEQUE,PUEBLO NUEVO
140203,MOYAN,LAMBAYEQUE,INCAHUASI
010609,TOCUYA,AMAZONAS,OMIA
010203,PAN DE AZUCAR,AMAZONAS,COPALLIN
010701,NUEVO HORIZONTE,AMAZONAS,BAGUA GRANDE
010503,YOMBLON DE COCABAMBA,AMAZONAS,COCABAMBA
010521,MARAYPATA,AMAZONAS,SANTO TOMAS
010521,LLACTAPAMPA,AMAZONAS,SANTO TOMAS
010503,MENDAN,AMAZONAS,COCABAMBA
060413,EL LIRIO,CAJAMARCA,PACCHA
130501,SANTA TERESA,LA LIBERTAD,JULCAN
160706,PUESTO DE SALUD I-1 KUYUNTZA DEL MANCHARI,LORETO,ANDOAS
010514,TRIBULON,AMAZONAS,PISUQUIA
010109,YERBABUENA,AMAZONAS,LA JALCA
160507,EL SOL,LORETO,SAQUENA
080108,GASTRO ECOMEDIC,CUSCO,WANCHAQ
060613,LANCHEPATA,CAJAMARCA,SANTO TOMAS
060613,SAN LUIS,CAJAMARCA,SANTO TOMAS
060303,ANDAMACHAY,CAJAMARCA,CORTEGANA
250101,DOS DE MAYO KM.12,UCAYALI,CALLERIA
060614,EL PORVENIR,CAJAMARCA,SOCOTA
010401,SAASA,AMAZONAS,NIEVA
